barcode,name,unit
4740963,"ไม้บรรทัดพลาสติกทึบ12"" *12ล",กุรุส
47465015854,ปากกาลูกลื่น G Stream 0.5 Dong-A น้ำเงิน*12ด้าม,กล่อง
4746617607,ไหมพรมG-5001-1/15กรัม สีขาว*12,แพ็ค
FAH64000162,บัตรรถ No.2 *50ล,แพ็ค
084511305229,ยางลบFoam SAKURA XRFW-80 (40ก้อน/กล่อง),กล่อง
28851907144719,ควอนตั้ม ปากกาหัวสักหลาดQS120สีดำ 2.0m*12,กล่อง
8851023013520,พู่กันกลม I-PAINT #5 (12ชิ้น/แพ็ค),แพ็ค
FAH64004583,จุกลูกโป่ง (100ชิ้น/ถุง),ถุง
8854888010659,ปากกาลุกลื่นแดง.MaPles*MP141*50ด้าม,กระปุก
4746618217,คัตเตอร์ตราช้าง รุ่น S-904 9มม *24,กล่อง
47464012446,ปากกาลบคำผิด ชนิดปลอกใส Pentel 18มล. ZLC1S6-WBP (12ชิ้น/กล่อง),กล่อง
18851907030978,พู่กันมาสเตอร์อาร์ต No.9 *10ท,แพ็ค
4746821428,ดินสอดำ Quantum 2B QP-9202 (12กล่อง/แพ็ค),แพ็ค
47464012561,ไส้ปืนกาว BIM แท่งสั้น ขาว (162ชิ้น/แพ็ค),แพ็ค
4548351063863,ปากกายูนิบอลซิกโนUMN-307 0.7แดง *12ด,กล่อง
8809331231280,ปากกาลูกลื่นoxford0.38 FASTER CX915 ฟ้า (12ด้าม/กล่อง),กล่อง
18851907101586,ดินสอสีแท่งสั้น12สี เอลเฟ่น *12ก,แพ็ค
FAH64000984,กรรไกร 3M 6นิ้ว CAT.1406 (6ชิ้น/กล่อง),กล่อง
4746821462,บิลเงินสด BOSTON ชนิดคาร์บอนในตัว ประเภท2ชั้น No.3 (10เล่ม/แพ็ค),แพ็ค
4743449,ปากกาลูกลื่นหมึกน้ำมัน0.7 น้ำเงิน B-805 *36ด,กระปุก
47466016885,DM ถุงกระดาษสีน้ำตาลมีหูหิ้ว Size M *50,แพ็ค
47465015238,ปากกาเจล0.5 sharpie S jel แดง*12,กล่อง
4742970,42970 ปากกามาร์คเกอร์2หัว275-14 เขียวเข้ม *12ด,กล่อง
FAH64004029,ไหมพรมนกยูง40กรัมคละสี *12ม,แพ็ค
4740008,DLปากกาลบคำผิด 39284 *12,กล่อง
6921734969804,กระดาษโน๊ต1x4 Deli A030 *6พ,กล่อง
FAH64006679,ซองใส่แผ่นCD *100ช,แพ็ค
6941682686004,ปากกาลูกลื่น L&P LP100 0.5mm. แดง (12ด้าม/กล่อง),กล่อง
47465013363,กระดาษรายงาน J.B. 20แผ่น/ห่อ (12ห่อ/แพ็ค),แพ็ค
4007817323564,ปากกาไฮไลท์สเต็ดเล่อร์ ชมพู *10ด,กล่อง
47466016993,ผ้าปูโต๊ะล คละลาย*ม้วน,ม้วน
8851552201634,ปากกาเคมี2หัว Horse สีแดง (12ด้าม/กล่อง),กล่อง
47465014110,ลวดขาว No.24*10มัด,มัด
47465015450,ใบเสร็จรับเงิน No.2 ชนิดคาร์บอนในตัว2ชั้น VSK*10เล่ม,แพ็ค
47464011987,แท่นประทับตราช้าง E04B สีน้ำเงิน*12อ,แพ็ค
8809331230665,ปากกาลูกลื่น บลอสซั่ม 0.38 FASTER CX914 น้ำเงิน (12ด้าม/กล่อง),กล่อง
FAH64002251,แฟ้มซอง ORCA A4 ชมพู (12ชิ้น/แพ็ค),แพ็ค
47465014899,โบว์ผีเสื้อ18มิล สีเขียว PRM18-7G*10pcs,แพ็ค
4746821339,ปากกาเจลลูลอยด์ Quantum ASTRON MIDNIGHT 0.7mm. หมึกน้ำเงิน ด้ามคละสี (50ด้าม/กระบอก),กระบอก
47465014914,ถังขยะแยกประเภท 60ลิตร 4ใบ/ชุด,ชุด
4746922868,ปากกาไวท์บอร์ด Quantum QW-1400 หมึกแดง (12ด้าม/กล่อง),กล่อง
47465013019,มาลัยรูปห้อยคอ คละสี*ยกแพ็ค,แพ็ค
47465014057,E'SY สติ๊กเกอร์เลเซอร์ 5มม.คละสี*12ช,แพ็ค
FAH64001186,SDI*ลวดเย็บกระดาษ23/15 1215 *10,กล่อง
47464012046,สมุดโน๊ตเย็บลวดA5*NF3P-150*ไม่มีเส้น*12ล.,แพ็ค
47465015354,ดินสอดำ 5B สเต็ดเล่อร์ (12แท่ง/กล่อง),กล่อง
18851907163836,สมุดนักเรียน Elephant เส้นเดี่ยว Monster Gang 40แผ่น L-104 (12เล่ม/แพ็ค),แพ็ค
4746719905,ซองซิป (215x95) HX-8583 (10ใบ),แพ็ค
47464011333,กระดาษโน๊ตกาวในตัว*3x3*เมโลดี*6พ.,แพ็ค
