code,barcode2,name,unit
8809331232188,,ปากกาเจลDotty Gel 0.5 FASTER CX717-FAN น้ำเงิน (12ด้าม/กล่อง),กล่อง
FAH64003385,8801456151818,ปากกาไวท์บอร์ด DONG-A น้ำเงิน (12ด้าม/กล่อง),กล่อง
47465014246,,ปากกาลูกลื่น4in1 bepen GP-883 (6ด้าม/กล่อง),กล่อง
4740291,,ดินสอสีไม้คอลลีน72แท่ง72สี No.775 *4ก,กล่อง
47464011898,8801067412834,ปากกาลูกลื่น153*การ์ตูน0.5*ฟ้าโซดา*12ด.,แพ็ค
18851907258013,,ตราช้างสมุดบันทึก HC-524T *6ล,แพ็ค
47465014390,18851907293083,elfen เทปผ้ากาว 36มมx8หลา เขียวแก่*8ม้วน,แพ็ค
4746719846,8851673288187,สายคล้องคอปรับสายได้(หน้ายิ้ม) B-1008 คละสี(100ชิ้น),แพ็ค
FAH64000696,4740918,ธงวชร. 50x75cm. 10ผืน/แพ็ค,แพ็ค
FAH64001187,4711734921702,SDI*ลวดเย็บกระดาษ 23/17 1217 *10,กล่อง
10084511317601,,ไวท์บอร์ดหัวแหลมSAKURAดำ *12ด,กล่อง
47466016529,,แฟ้มซองกระดุมF4 MT KT-OS07-2 (12ชิ้น/แพ็ค),โหล
47465013779,18851907277496,สมุดสพฐ เส้นเดี่ยว 40แผ่น ตราช้าง B-103 12เล่ม/แพ็ค,แพ็ค
18851907030886,,พู่กัน Master Art จิตรกรน้อย กลม เบอร์ 0 10ด้าม/แพ็ค,แพ็ค
FAH64001409,4741603,แฟ้มเจาะลิ้นพลาสติกF4 *50ช,แพ็ค
8851552201627,,ปากกาเคมี2หัว Horse สีดำ (12ด้าม/กล่อง),กล่อง
4746821412,,ขวดน้ำพลาสติก 600มล. (24ขวด),แพ็ค
18851907031548,,ดินสอสีแท่งสั้น มาสเตอร์อาร์ต 12สี ซุปเปอร์ไบรท์ (12กล่อง/แพ็ค),โหล
18851907221628,,ตราช้างสมุดฉีก A4 PEZ-101R *10ช,แพ็ค
47465012918,16921734946673,กาวแท่ง36g.deli A20310*12ช,กล่อง
47465014903,8851673238137,โบว์ผีเสื้อ18มิล สีม่วง PRM18-5V,แพ็ค
47464011079,8851295510017,ปากกาไวท์บอร์ด PILOT สีน้ำเงิน 12ด้าม/กล่อง,กล่อง
8851023013445,,พู่กันกลม I-PAINT #11 (6ชิ้น/แพ็ค),แพ็ค
4746820278,18851907149922,สีเทียน จัมโบ้24สี มาสเตอร์อาร์ต Wax Ceayons Jumbo (12กล่อง/แพ็ค),แพ็ค
4746821464,,บิลส่งของ BOSTON ชนิดคาร์บอนในตัว ประเภท2ชั้น No.203 (10เล่ม/แพ็ค),แพ็ค
4746719288,8935324008680,ปากกา flexoffice หมึกน้ำมัน แบบกด 0.7มม. FO-GELB068 หมึกน้ำเงิน (100ด้าม/ชุด),ชุด
4743650,,ดินสอกด0.5 Lamoon LM-8006 *12ด,แพ็ค
FAH64006556,38850304082980,เทปใสติดแผล1/2นิ้ว *12ม,กล่อง
8995026920895,,ปากกาลูกลื่นเจลg'soft caste-fan0.38 นง. *12ด,กล่อง
